"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"01001","663","608","156","106","816","193","696","134","441","04-09-2022 10:00:05"
"01002","678","629","119","148","851","189","553","170","584","04-09-2022 10:00:05"
"01003","1885","1597","721","446","1940","375","1900","227","1355","04-09-2022 10:00:05"
"01004","1547","1314","347","314","1906","294","1492","306","1063","04-09-2022 10:00:05"
"01005","1218","1061","279","271","1438","291","1201","294","784","04-09-2022 10:00:05"
"01006","853","712","182","171","1021","191","696","206","663","04-09-2022 10:00:05"
"01007","1106","787","279","199","1272","143","870","189","834","04-09-2022 10:00:05"
"01008","1801","1324","487","332","1940","366","1340","234","1551","04-09-2022 10:00:05"
"01009","1162","1000","333","201","1392","236","1096","181","885","04-09-2022 10:00:05"
"01010","1241","1068","344","274","1494","197","996","163","1150","04-09-2022 10:00:05"
"01011","1640","1404","438","322","2034","250","1346","261","1437","04-09-2022 10:00:05"
"01012","922","923","220","186","1223","216","950","173","722","04-09-2022 10:00:05"
"01013","719","726","184","128","923","210","818","96","531","04-09-2022 10:00:05"
"01014","996","838","176","198","1239","221","968","132","734","04-09-2022 10:00:05"
"01015","1144","1126","292","212","1509","257","1065","191","1014","04-09-2022 10:00:05"
"01016","1020","1052","260","208","1390","214","959","172","941","04-09-2022 10:00:05"
"01017","1233","1235","304","295","1628","241","1113","201","1154","04-09-2022 10:00:05"
"01018","759","733","166","171","939","216","803","133","556","04-09-2022 10:00:05"
"01019","1405","1227","305","246","1799","282","1215","298","1119","04-09-2022 10:00:05"
"01020","1056","1153","150","202","1490","367","1213","391","605","04-09-2022 10:00:05"
"01021","1022","1050","148","197","1436","291","1114","333","625","04-09-2022 10:00:05"
"01022","965","760","87","247","1169","222","734","257","734","04-09-2022 10:00:05"
"01023","964","989","131","201","1347","274","1056","369","528","04-09-2022 10:00:05"
"01025","671","637","97","137","920","154","634","313","361","04-09-2022 10:00:05"
"01026","7753","2426","662","1065","7961","491","1799","526","7854","04-09-2022 10:00:05"
"01027","700","760","112","160","982","206","756","282","422","04-09-2022 10:00:05"
"01028","940","964","137","216","1329","222","902","436","566","04-09-2022 10:00:05"
"01029","680","715","92","183","976","144","584","315","496","04-09-2022 10:00:05"
"01030","1253","1165","201","293","1570","354","1270","403","745","04-09-2022 10:00:05"
"01031","840","731","146","133","1117","175","683","326","562","04-09-2022 10:00:05"
"01032","877","850","83","119","1240","285","946","342","439","04-09-2022 10:00:05"
"01033","544","479","78","67","724","154","546","217","260","04-09-2022 10:00:05"
"01034","471","441","52","72","651","137","486","205","221","04-09-2022 10:00:05"
"01035","554","577","64","92","806","169","617","243","271","04-09-2022 10:00:05"
"01036","539","609","110","99","713","226","855","134","159","04-09-2022 10:00:05"
"01037","601","673","86","105","815","268","875","185","214","04-09-2022 10:00:05"
"01038","719","705","97","105","1046","176","685","337","402","04-09-2022 10:00:05"
"01039","660","663","89","127","893","214","801","205","317","04-09-2022 10:00:05"
